generator,variant,instances,feasible_rate,avg_vehicles,avg_distance,avg_vehicle_gap,vehicle_match_rate,avg_distance_gap_pct_all,comparable_distance_count,avg_distance_gap_pct_comparable,avg_runtime,avg_violations
greedy_insertion,fast_only,56,1.000000,9.196429,1559.835587,1.964286,0.125000,54.150599,7,43.373949,0.417076,0.000000
greedy_insertion,fast_repair,56,1.000000,9.196429,1559.835587,1.964286,0.125000,54.150599,7,43.373949,0.417076,0.000000
greedy_insertion,fast_repair_merge,56,1.000000,9.178571,1558.933904,1.946429,0.142857,54.051091,8,44.957871,0.417076,0.000000
greedy_insertion,fast_repair_merge_elim,56,1.000000,8.750000,1514.025525,1.517857,0.250000,49.951567,14,46.950337,0.417076,0.000000
greedy_insertion,full_ftv,56,1.000000,8.732143,1303.667124,1.500000,0.250000,28.876083,14,34.612334,0.417076,0.000000
nearest_neighbor,fast_only,56,0.875000,15.696429,1819.216689,8.464286,0.000000,85.075729,0,,0.008100,0.125000
nearest_neighbor,fast_repair,56,0.875000,15.696429,1819.216689,8.464286,0.000000,85.075729,0,,0.008100,0.125000
nearest_neighbor,fast_repair_merge,56,0.982143,11.410714,1750.913884,4.178571,0.000000,78.092595,0,,0.008100,0.017857
nearest_neighbor,fast_repair_merge_elim,56,1.000000,8.875000,1510.117167,1.642857,0.142857,52.707417,8,63.714191,0.008100,0.000000
nearest_neighbor,full_ftv,56,1.000000,8.857143,1388.953456,1.625000,0.142857,39.879231,8,51.190664,0.008100,0.000000
regret_insertion,fast_only,56,1.000000,11.625000,2734.104575,4.392857,0.000000,179.789278,0,,0.416983,0.000000
regret_insertion,fast_repair,56,1.000000,11.625000,2734.104575,4.392857,0.000000,179.789278,0,,0.416983,0.000000
regret_insertion,fast_repair_merge,56,1.000000,11.571429,2727.402326,4.339286,0.000000,179.102294,0,,0.416983,0.000000
regret_insertion,fast_repair_merge_elim,56,1.000000,11.053571,2631.468279,3.821429,0.000000,167.844557,0,,0.416983,0.000000
regret_insertion,full_ftv,56,1.000000,10.357143,1969.168643,3.125000,0.000000,100.264854,0,,0.416983,0.000000
