dataset,generator,variant,vehicles,distance,feasible,violations,base_runtime
C101,greedy_insertion,fast_only,11,1140.400240,True,0,5.787643
C101,greedy_insertion,fast_repair,11,1140.400240,True,0,5.787643
C101,greedy_insertion,fast_repair_merge,11,1140.400240,True,0,5.787643
C101,greedy_insertion,full_ftv,11,952.814501,True,0,5.787643
C101,nearest_neighbor,fast_only,21,1870.693800,True,0,0.038275
C101,nearest_neighbor,fast_repair,21,1870.693800,True,0,0.038275
C101,nearest_neighbor,fast_repair_merge,16,1774.136330,True,0,0.038275
C101,nearest_neighbor,full_ftv,15,1511.643518,True,0,0.038275
C101,regret_insertion,fast_only,11,1305.964232,True,0,5.745836
C101,regret_insertion,fast_repair,11,1305.964232,True,0,5.745836
C101,regret_insertion,fast_repair_merge,11,1305.964232,True,0,5.745836
C101,regret_insertion,full_ftv,11,1172.843823,True,0,5.745836
R101,greedy_insertion,fast_only,23,2337.631365,True,0,4.924397
R101,greedy_insertion,fast_repair,23,2337.631365,True,0,4.924397
R101,greedy_insertion,fast_repair_merge,23,2337.631365,True,0,4.924397
R101,greedy_insertion,full_ftv,22,1901.938192,True,0,4.924397
R101,nearest_neighbor,fast_only,37,2623.244874,False,1,0.047977
R101,nearest_neighbor,fast_repair,37,2623.244874,False,1,0.047977
R101,nearest_neighbor,fast_repair_merge,28,2398.030371,False,1,0.047977
R101,nearest_neighbor,full_ftv,25,2107.697840,True,0,0.047977
R101,regret_insertion,fast_only,25,2637.832196,True,0,4.717667
R101,regret_insertion,fast_repair,25,2637.832196,True,0,4.717667
R101,regret_insertion,fast_repair_merge,25,2637.832196,True,0,4.717667
R101,regret_insertion,full_ftv,23,2180.460918,True,0,4.717667
RC101,greedy_insertion,fast_only,18,2332.412676,True,0,5.042376
RC101,greedy_insertion,fast_repair,18,2332.412676,True,0,5.042376
RC101,greedy_insertion,fast_repair_merge,18,2332.412676,True,0,5.042376
RC101,greedy_insertion,full_ftv,18,2134.991775,True,0,5.042376
RC101,nearest_neighbor,fast_only,27,2711.298077,False,1,0.040677
RC101,nearest_neighbor,fast_repair,27,2711.298077,False,1,0.040677
RC101,nearest_neighbor,fast_repair_merge,23,2650.556768,True,0,0.040677
RC101,nearest_neighbor,full_ftv,22,2363.674499,True,0,0.040677
RC101,regret_insertion,fast_only,24,3079.354092,True,0,4.835640
RC101,regret_insertion,fast_repair,24,3079.354092,True,0,4.835640
RC101,regret_insertion,fast_repair_merge,24,3079.354092,True,0,4.835640
RC101,regret_insertion,full_ftv,21,2263.305019,True,0,4.835640
